Fecha;Hora;Latitud;Longitud;Medicion;Fuerza [KG];Distancia [CM];Distancia total;Fuerza Promedio;Fuerza Maxima;Distancia Fuerza Maxima;
21/09/2020;20:55:22;0;0;0151; ; ; ; ; ; ;
;; ; ; ;   7;0000; ; ; ; ;
;; ; ; ;  10;0000; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  15;0000; ; ; ; ;
;; ; ; ;  17;0003; ; ; ; ;
;; ; ; ;  19;0003; ; ; ; ;
;; ; ; ;  23;0004; ; ; ; ;
;; ; ; ;  25;0004; ; ; ; ;
;; ; ; ;  30;0005; ; ; ; ;
;; ; ; ;  31;0006; ; ; ; ;
;; ; ; ;  36;0007; ; ; ; ;
;; ; ; ;  36;0007; ; ; ; ;
;; ; ; ;  30;0012; ; ; ; ;
;; ; ; ;  28;0013; ; ; ; ;
;; ; ; ;  18;0020; ; ; ; ;
;; ; ; ;  15;0020; ; ; ; ;
;; ; ; ;  15;0024; ; ; ; ;
;; ; ; ;  13;0024; ; ; ; ;
;; ; ; ;  11;0030; ; ; ; ;
;; ; ; ;  10;0033; ; ; ; ;
;; ; ; ;   7;0034; ; ; ; ;
;; ; ; ; ; ;34;19.43;36.00;07;
21/09/2020;21:00:08;-26824099;-60841991;0152; ; ; ; ; ; ;
;; ; ; ;   6;0000; ; ; ; ;
;; ; ; ;   9;0001; ; ; ; ;
;; ; ; ;  11;0001; ; ; ; ;
;; ; ; ;  12;0001; ; ; ; ;
;; ; ; ;  14;0001; ; ; ; ;
;; ; ; ;  17;0001; ; ; ; ;
;; ; ; ;  20;0051; ; ; ; ;
;; ; ; ;  24;0051; ; ; ; ;
;; ; ; ;  28;0051; ; ; ; ;
;; ; ; ;  31;0051; ; ; ; ;
;; ; ; ;  34;0051; ; ; ; ;
;; ; ; ;  38;0051; ; ; ; ;
;; ; ; ;  41;0051; ; ; ; ;
;; ; ; ;  45;0051; ; ; ; ;
;; ; ; ;  47;0051; ; ; ; ;
;; ; ; ;  48;0051; ; ; ; ;
;; ; ; ;  49;0051; ; ; ; ;
;; ; ; ;  38;0051; ; ; ; ;
;; ; ; ;  27;0051; ; ; ; ;
;; ; ; ;  27;0051; ; ; ; ;
;; ; ; ;  25;0051; ; ; ; ;
;; ; ; ;  23;0051; ; ; ; ;
;; ; ; ;  24;0051; ; ; ; ;
;; ; ; ;  23;0051; ; ; ; ;
;; ; ; ;  23;0051; ; ; ; ;
;; ; ; ;  22;0051; ; ; ; ;
;; ; ; ;  20;0051; ; ; ; ;
;; ; ; ;  17;0051; ; ; ; ;
;; ; ; ; ; ;51;26.54;49.00;51;
;; ; ; ; ; ;00;0.00;0.00;00;
21/09/2020;21:04:52;-26825934;-60841230;0154; ; ; ; ; ; ;
;; ; ; ;  43;0000; ; ; ; ;
;; ; ; ;  42;0003; ; ; ; ;
;; ; ; ;  39;0003; ; ; ; ;
;; ; ; ;  48;0003; ; ; ; ;
;; ; ; ;  51;0003; ; ; ; ;
;; ; ; ;  47;0051; ; ; ; ;
;; ; ; ;  40;0051; ; ; ; ;
;; ; ; ;  26;0051; ; ; ; ;
;; ; ; ;  20;0051; ; ; ; ;
;; ; ; ;  19;0051; ; ; ; ;
;; ; ; ;  20;0051; ; ; ; ;
;; ; ; ;  13;0051; ; ; ; ;
;; ; ; ; ; ;51;34.00;51.00;03;
;; ; ; ; ; ;00;0.00;0.00;00;
21/09/2020;21:07:03;-26827309;-60840671;0156; ; ; ; ; ; ;
;; ; ; ;   8;0000; ; ; ; ;
;; ; ; ;  11;0000; ; ; ; ;
;; ; ; ;  14;0000; ; ; ; ;
;; ; ; ;  17;0001; ; ; ; ;
;; ; ; ;  20;0051; ; ; ; ;
;; ; ; ;  24;0051; ; ; ; ;
;; ; ; ;  29;0051; ; ; ; ;
;; ; ; ;  31;0051; ; ; ; ;
;; ; ; ;  35;0051; ; ; ; ;
;; ; ; ;  36;0051; ; ; ; ;
;; ; ; ;  35;0051; ; ; ; ;
;; ; ; ;  32;0051; ; ; ; ;
;; ; ; ;  25;0051; ; ; ; ;
;; ; ; ;  21;0051; ; ; ; ;
;; ; ; ;  18;0051; ; ; ; ;
;; ; ; ;  17;0051; ; ; ; ;
;; ; ; ;  17;0051; ; ; ; ;
;; ; ; ;  17;0051; ; ; ; ;
;; ; ; ;  15;0051; ; ; ; ;
;; ; ; ; ; ;51;22.21;36.00;51;
21/09/2020;21:11:05;-26830662;-60839220;0157; ; ; ; ; ; ;
;; ; ; ;   7;0000; ; ; ; ;
;; ; ; ;  11;0000; ; ; ; ;
;; ; ; ;  14;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  26;0001; ; ; ; ;
;; ; ; ;  28;0001; ; ; ; ;
;; ; ; ;  34;0001; ; ; ; ;
;; ; ; ;  37;0051; ; ; ; ;
;; ; ; ;  40;0051; ; ; ; ;
;; ; ; ;  44;0051; ; ; ; ;
;; ; ; ;  43;0051; ; ; ; ;
;; ; ; ;  47;0051; ; ; ; ;
;; ; ; ;  50;0051; ; ; ; ;
;; ; ; ;  47;0051; ; ; ; ;
;; ; ; ;  48;0051; ; ; ; ;
;; ; ; ;  46;0051; ; ; ; ;
;; ; ; ;  49;0051; ; ; ; ;
;; ; ; ;  51;0051; ; ; ; ;
;; ; ; ;  21;0051; ; ; ; ;
;; ; ; ;  24;0051; ; ; ; ;
;; ; ; ;  23;0051; ; ; ; ;
;; ; ; ;  22;0051; ; ; ; ;
;; ; ; ;  21;0051; ; ; ; ;
;; ; ; ;  21;0051; ; ; ; ;
;; ; ; ;  19;0051; ; ; ; ;
;; ; ; ;  13;0051; ; ; ; ;
;; ; ; ;  13;0051; ; ; ; ;
;; ; ; ; ; ;51;29.96;51.00;51;
21/09/2020;20:55:22;0;0;0158; ; ; ; ; ; ;
;; ; ; ;   6;0000; ; ; ; ;
;; ; ; ;   8;0000; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  14;0000; ; ; ; ;
;; ; ; ;  16;0000; ; ; ; ;
;; ; ; ;  17;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  26;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  26;0000; ; ; ; ;
;; ; ; ;  26;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;  16;0000; ; ; ; ;
;; ; ; ;  16;0000; ; ; ; ;
;; ; ; ;  16;0000; ; ; ; ;
;; ; ; ;  15;0000; ; ; ; ;
;; ; ; ;  13;0000; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  11;0000; ; ; ; ;
;; ; ; ;  11;0000; ; ; ; ;
;; ; ; ;  11;0000; ; ; ; ;
;; ; ; ;  11;0000; ; ; ; ;
;; ; ; ;  10;0000; ; ; ; ;
;; ; ; ;   8;0000; ; ; ; ;
;; ; ; ; ; ;00;20.31;30.00;00;
21/09/2020;21:05:36;0;0;0159; ; ; ; ; ; ;
;; ; ; ; ; ;00;0.00;0.00;00;
21/09/2020;21:07:09;-26831303;-60844354;0160; ; ; ; ; ; ;
;; ; ; ;   8;0008; ; ; ; ;
;; ; ; ;  10;0008; ; ; ; ;
;; ; ; ;  11;0008; ; ; ; ;
;; ; ; ;  13;0010; ; ; ; ;
;; ; ; ;  14;0059; ; ; ; ;
;; ; ; ;  15;0059; ; ; ; ;
;; ; ; ;  16;0059; ; ; ; ;
;; ; ; ;  16;0059; ; ; ; ;
;; ; ; ;  17;0059; ; ; ; ;
;; ; ; ;  17;0059; ; ; ; ;
;; ; ; ;  16;0059; ; ; ; ;
;; ; ; ;  16;0059; ; ; ; ;
;; ; ; ;  17;0059; ; ; ; ;
;; ; ; ;  18;0059; ; ; ; ;
;; ; ; ;  17;0059; ; ; ; ;
;; ; ; ;  14;0059; ; ; ; ;
;; ; ; ;  14;0059; ; ; ; ;
;; ; ; ;   7;0059; ; ; ; ;
;; ; ; ;   7;0059; ; ; ; ;
;; ; ; ; ; ;59;13.84;18.00;59;
21/09/2020;20:55:22;0;0;0161; ; ; ; ; ; ;
;; ; ; ;   8;0006; ; ; ; ;
;; ; ; ;  11;0006; ; ; ; ;
;; ; ; ;  14;0009; ; ; ; ;
;; ; ; ;  17;0009; ; ; ; ;
;; ; ; ;  19;0009; ; ; ; ;
;; ; ; ;  21;0009; ; ; ; ;
;; ; ; ;  23;0009; ; ; ; ;
;; ; ; ;  25;0009; ; ; ; ;
;; ; ; ;  28;0009; ; ; ; ;
;; ; ; ;  30;0057; ; ; ; ;
;; ; ; ;  27;0057; ; ; ; ;
;; ; ; ;  23;0057; ; ; ; ;
;; ; ; ;  19;0057; ; ; ; ;
;; ; ; ;  19;0057; ; ; ; ;
;; ; ; ;  17;0057; ; ; ; ;
;; ; ; ;  18;0057; ; ; ; ;
;; ; ; ;  16;0057; ; ; ; ;
;; ; ; ;   6;0057; ; ; ; ;
;; ; ; ; ; ;57;18.94;30.00;57;
;; ; ; ;   6;0007; ; ; ; ;
;; ; ; ;  32;0007; ; ; ; ;
;; ; ; ;  39;0007; ; ; ; ;
;; ; ; ;  42;0009; ; ; ; ;
;; ; ; ;  45;0009; ; ; ; ;
;; ; ; ;  44;0009; ; ; ; ;
;; ; ; ;  43;0057; ; ; ; ;
;; ; ; ;  40;0057; ; ; ; ;
;; ; ; ;  39;0057; ; ; ; ;
;; ; ; ;  26;0057; ; ; ; ;
21/09/2020;21:03:43;-26832698;-60848211;0163; ; ; ; ; ; ;
;; ; ; ;   8;0004; ; ; ; ;
;; ; ; ;  14;0004; ; ; ; ;
;; ; ; ;  22;0057; ; ; ; ;
;; ; ; ;  29;0057; ; ; ; ;
;; ; ; ;  32;0057; ; ; ; ;
;; ; ; ;  36;0057; ; ; ; ;
;; ; ; ;  39;0057; ; ; ; ;
;; ; ; ;  41;0057; ; ; ; ;
;; ; ; ;  42;0057; ; ; ; ;
;; ; ; ;  38;0057; ; ; ; ;
;; ; ; ;  34;0057; ; ; ; ;
;; ; ; ;  32;0057; ; ; ; ;
;; ; ; ;  30;0057; ; ; ; ;
;; ; ; ;  27;0057; ; ; ; ;
;; ; ; ;  26;0057; ; ; ; ;
;; ; ; ;  24;0057; ; ; ; ;
;; ; ; ;  23;0057; ; ; ; ;
;; ; ; ;  23;0057; ; ; ; ;
;; ; ; ;  23;0057; ; ; ; ;
;; ; ; ; ; ;57;28.58;42.00;57;
;; ; ; ; ; ;00;0.00;0.00;00;
21/09/2020;21:07:00;-26836103;-60846915;0165; ; ; ; ; ; ;
;; ; ; ;  34;0007; ; ; ; ;
;; ; ; ;  32;0057; ; ; ; ;
;; ; ; ;  30;0057; ; ; ; ;
;; ; ; ;  32;0057; ; ; ; ;
;; ; ; ;  37;0057; ; ; ; ;
;; ; ; ;  41;0057; ; ; ; ;
;; ; ; ;  43;0057; ; ; ; ;
;; ; ; ;  44;0057; ; ; ; ;
;; ; ; ;  47;0057; ; ; ; ;
;; ; ; ;  46;0057; ; ; ; ;
;; ; ; ;  48;0057; ; ; ; ;
;; ; ; ;  47;0057; ; ; ; ;
;; ; ; ;  47;0057; ; ; ; ;
;; ; ; ;  48;0057; ; ; ; ;
;; ; ; ;  48;0057; ; ; ; ;
;; ; ; ;  47;0057; ; ; ; ;
;; ; ; ;  49;0057; ; ; ; ;
;; ; ; ;  45;0057; ; ; ; ;
;; ; ; ;  41;0057; ; ; ; ;
;; ; ; ;  39;0057; ; ; ; ;
;; ; ; ;  37;0057; ; ; ; ;
;; ; ; ;  23;0057; ; ; ; ;
;; ; ; ;  19;0057; ; ; ; ;
;; ; ; ;  15;0057; ; ; ; ;
;; ; ; ; ; ;57;39.13;49.00;57;
21/09/2020;21:10:36;-26839458;-60845569;0166; ; ; ; ; ; ;
;; ; ; ;   9;0057; ; ; ; ;
;; ; ; ;  14;0057; ; ; ; ;
;; ; ; ;  19;0057; ; ; ; ;
;; ; ; ;  22;0057; ; ; ; ;
;; ; ; ;  31;0057; ; ; ; ;
;; ; ; ;  36;0057; ; ; ; ;
;; ; ; ;  42;0057; ; ; ; ;
;; ; ; ;  41;0057; ; ; ; ;
;; ; ; ;  44;0057; ; ; ; ;
;; ; ; ;  30;0057; ; ; ; ;
;; ; ; ;  50;0057; ; ; ; ;
;; ; ; ;  31;0057; ; ; ; ;
;; ; ; ;  43;0057; ; ; ; ;
;; ; ; ;  49;0057; ; ; ; ;
;; ; ; ;  37;0057; ; ; ; ;
;; ; ; ;  47;0057; ; ; ; ;
;; ; ; ;  47;0057; ; ; ; ;
;; ; ; ;  37;0057; ; ; ; ;
;; ; ; ;  33;0057; ; ; ; ;
;; ; ; ;  33;0057; ; ; ; ;
;; ; ; ;  31;0057; ; ; ; ;
;; ; ; ;  28;0057; ; ; ; ;
;; ; ; ;  26;0057; ; ; ; ;
;; ; ; ;  22;0057; ; ; ; ;
;; ; ; ;  23;0057; ; ; ; ;
;; ; ; ; ; ;57;33.00;50.00;57;
21/09/2020;21:18:52;0;0;0167; ; ; ; ; ; ;
;; ; ; ;   9;0000; ; ; ; ;
;; ; ; ;  16;0000; ; ; ; ;
;; ; ; ;  19;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  26;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  28;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  34;0000; ; ; ; ;
;; ; ; ;  34;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;  15;0000; ; ; ; ;
;; ; ; ;  15;0000; ; ; ; ;
;; ; ; ;   5;0000; ; ; ; ;
;; ; ; ; ; ;00;24.48;34.00;00;
21/09/2020;21:24:09;-26829940;-60851061;0168; ; ; ; ; ; ;
;; ; ; ;   9;0000; ; ; ; ;
;; ; ; ;  11;0000; ; ; ; ;
;; ; ; ;  13;0000; ; ; ; ;
;; ; ; ;  16;0000; ; ; ; ;
;; ; ; ;  16;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
